modelo,n,friedman_chi2,df,p_value,kendall_W,significativo
Qwen/Qwen3-8B,259,171.50338164251218,2,5.734741712521152e-38,0.33108760934847914,True
google/gemma-4-E4B-it,259,82.10810810810835,2,1.4806447278423158e-18,0.15850986121256438,True
ibm-granite/granite-4.1-8b,259,40.679536679536795,2,1.467407879783444e-09,0.07853192409176987,True
meta-llama/Meta-Llama-3-8B-Instruct,259,112.91891891891919,2,3.0197313346456122e-25,0.21799019096316447,True
mistralai/Mistral-7B-Instruct-v0.3,259,251.19033816425153,2,2.8491224441923984e-55,0.4849234327495203,True
