modelo,melhor_tecnica_observada,media_bertscore,mediana_bertscore,media_cv_percent,tecnica_mais_estavel,superior_a_todas_holm,status,detalhes_posthoc
Qwen/Qwen3-8B,zero-shot,54.21126796803419,54.6276912689209,5.328317148697451,few-shot,True,vencedora estatisticamente suportada,zero-shot vs one-shot: Δ=6.153402; p-Holm=6.61974e-29; superior | zero-shot vs few-shot: Δ=6.127898; p-Holm=2.34773e-28; superior
google/gemma-4-E4B-it,zero-shot,42.38380396603876,42.4426292181015,23.751750209577306,zero-shot,True,vencedora estatisticamente suportada,zero-shot vs one-shot: Δ=2.888158; p-Holm=3.7887e-11; superior | zero-shot vs few-shot: Δ=4.425591; p-Holm=9.20033e-19; superior
ibm-granite/granite-4.1-8b,zero-shot,48.735926826948365,48.13830680847168,7.682136803274388,few-shot,True,vencedora estatisticamente suportada,zero-shot vs one-shot: Δ=1.428178; p-Holm=4.04053e-07; superior | zero-shot vs few-shot: Δ=1.652636; p-Holm=4.2887e-08; superior
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,53.9831616942947,54.227318572998044,9.166332116788627,one-shot,True,vencedora estatisticamente suportada,zero-shot vs one-shot: Δ=0.887082; p-Holm=0.0126494; superior | zero-shot vs few-shot: Δ=4.279808; p-Holm=9.07244e-22; superior
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,50.205748740862695,50.03575134277344,11.163931077590124,few-shot,True,vencedora estatisticamente suportada,zero-shot vs one-shot: Δ=7.734800; p-Holm=6.65104e-37; superior | zero-shot vs few-shot: Δ=7.509418; p-Holm=2.41199e-34; superior
