model,technique,n_casos,media_bertscore,mediana_bertscore,sd_entre_casos,media_cv_execucoes,mediana_cv_execucoes,media_sd_execucoes,sem,ic95_media_inf,ic95_media_sup
Qwen/Qwen3-8B,few-shot,259,48.08337043187793,48.07068519592285,8.341175736590943,3.71003402295387,2.9540268449976907,1.7055922257551446,0.5182954415620401,47.06751136641633,49.09922949733953
Qwen/Qwen3-8B,one-shot,259,48.05786594037384,48.493812561035156,8.74636328491579,3.91049785588849,2.7982556284354936,1.7931600066511666,0.5434725707709611,46.99265970166275,49.12307217908492
Qwen/Qwen3-8B,zero-shot,259,54.21126796803419,54.6276912689209,9.35083712131949,5.328317148697451,3.9813590695670897,2.6841052726739627,0.5810327473989626,53.07244378313223,55.350092152936156
google/gemma-4-E4B-it,few-shot,259,37.95821259056854,37.93349266052246,7.863304641310277,30.447123564884855,27.08132419208941,10.327350422225697,0.4886019764967117,37.000552716634985,38.9158724645021
google/gemma-4-E4B-it,one-shot,259,39.49564604463926,40.02813529968262,7.757581728099759,24.41232173792423,17.24369337567787,8.817259046804836,0.4820326743124532,38.55086200298685,40.44043008629167
google/gemma-4-E4B-it,zero-shot,259,42.38380396603876,42.4426292181015,7.6562039488157945,23.751750209577306,16.53203166175644,9.427750060799177,0.4757333656133134,41.451366569436665,43.31624136264086
ibm-granite/granite-4.1-8b,few-shot,259,47.08329048745881,47.30806465148926,7.227045876879108,5.190905095212682,4.3891360474785985,2.382222337678506,0.4490667805396309,46.20311959760114,47.963461377316484
ibm-granite/granite-4.1-8b,one-shot,259,47.30774880191994,47.759996032714845,7.088532857246845,5.890388070579046,5.013830101963668,2.7389905418473206,0.440460000279929,46.44444720137128,48.1710504024686
ibm-granite/granite-4.1-8b,zero-shot,259,48.735926826948365,48.13830680847168,8.447133194605286,7.682136803274388,6.662821439761142,3.6275617640065407,0.5248793176512856,47.70716336435184,49.76469028954489
meta-llama/Meta-Llama-3-8B-Instruct,few-shot,259,49.70335330153064,49.708940505981445,7.888770218782813,7.089709007898319,6.344433773911417,3.440466739420532,0.49018433048823123,48.74259201377371,50.66411458928757
meta-llama/Meta-Llama-3-8B-Instruct,one-shot,259,53.096079522210196,52.93015060424805,7.18505980603582,6.9548501245985355,6.290890660922437,3.574955010190337,0.4464578930381105,52.2210220518555,53.971136992564894
meta-llama/Meta-Llama-3-8B-Instruct,zero-shot,259,53.9831616942947,54.227318572998044,7.8347192300403865,9.166332116788627,8.15869878257058,4.8617680301574815,0.4868257654655297,53.02898319398226,54.93734019460714
mistralai/Mistral-7B-Instruct-v0.3,few-shot,259,42.6963308338493,42.730572891235354,8.602319287428537,10.589884513124334,7.169531282623666,4.024597571081807,0.534522112269708,41.64866749380067,43.74399417389793
mistralai/Mistral-7B-Instruct-v0.3,one-shot,259,42.470948950112096,42.43268241882324,8.882549271353078,12.096892770108305,7.785952760581213,4.635221955295682,0.5519347562234792,41.38915682791408,43.55274107231011
mistralai/Mistral-7B-Instruct-v0.3,zero-shot,259,50.205748740862695,50.03575134277344,8.01903614283391,11.163931077590124,9.967010210828668,5.405854288069655,0.49827866116278724,49.22912256498363,51.18237491674176
