tecnica_a,tecnica_b,n,media_a,media_b,diferenca_media_a_menos_b,ic95_diff_inf,ic95_diff_sup,p_original,rank_biserial,p_holm,significativo_holm,interpretacao
zero-shot,one-shot,259,49.90398183923575,46.08565785185107,3.8183239873846753,3.407063444497661,4.223175749583119,3.149663995440364e-37,0.9138699138699139,6.299327990880728e-37,True,zero-shot > one-shot
zero-shot,few-shot,259,49.90398183923575,45.10491152905704,4.799070310178698,4.341346044774358,5.269731307603749,2.3547967948791024e-39,0.9408375408375408,7.064390384637307e-39,True,zero-shot > few-shot
one-shot,few-shot,259,46.08565785185107,45.10491152905704,0.980746322794023,0.7004379137794503,1.2699006026004258,2.038128363285218e-10,0.45577665577665577,2.038128363285218e-10,True,one-shot > few-shot
